Tanggal,Sampah Daun,Sampah Sayuran,Sampah Anorganik,Daun Terolah,Sampah Fermentasi,Kompos Jadi,Bulan,Tahun,Kompos
2023-01-02 09:02:00,300,150,25,102,0,0,Januari,2023,Pasar Kendal
2023-01-03 09:11:00,250,85,25,108,418,0,Januari,2023,Pasar Kendal
2023-01-02 14:38:00,0,125,0,0,473,0,Januari,2023,Jatirejo
2023-01-03 14:47:00,0,83,0,0,0,0,Januari,2023,Jatirejo
2023-01-04 14:47:00,0,57,0,0,0,0,Januari,2023,Jatirejo
2023-01-04 13:20:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-05 12:58:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-05 12:58:00,0,49,0,0,0,0,Januari,2023,Jatirejo
2023-01-06 11:02:00,200,0,0,85,0,0,Januari,2023,Pasar Kendal
2023-01-06 11:04:00,250,62,0,107,0,0,Januari,2023,Jatirejo
2023-01-07 10:30:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-09 13:00:00,200,0,35,96,0,0,Januari,2023,Pasar Kendal
2023-01-07 10:32:00,0,0,0,0,261,0,Januari,2023,Jatirejo
2023-01-09 12:47:00,0,0,0,0,0,0,Januari,2023,Jatirejo
2023-01-10 13:10:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-10 12:49:00,200,0,0,73,0,0,Januari,2023,Jatirejo
2023-01-11 13:11:00,280,10,40,153,0,0,Januari,2023,Pasar Kendal
2023-01-11 13:25:00,0,0,0,0,0,0,Januari,2023,Jatirejo
2023-01-12 12:57:00,160,0,0,75,0,0,Januari,2023,Pasar Kendal
2023-01-12 12:45:00,200,0,0,96,0,315,Januari,2023,Jatirejo
2023-01-13 10:15:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-13 09:53:00,0,43,0,0,0,0,Januari,2023,Jatirejo
2023-01-14 11:56:00,150,0,38,83,0,0,Januari,2023,Pasar Kendal
2023-01-14 12:08:00,0,72,0,0,0,0,Januari,2023,Jatirejo
2023-01-16 13:09:00,250,0,33,115,0,0,Januari,2023,Pasar Kendal
2023-01-16 13:04:00,260,66,0,92,0,0,Januari,2023,Jatirejo
2023-01-17 13:14:00,230,0,37,118,0,0,Januari,2023,Pasar Kendal
2023-01-17 12:39:00,0,93,0,0,0,0,Januari,2023,Jatirejo
2023-01-18 13:07:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-18 12:42:00,0,0,0,0,294,0,Januari,2023,Jatirejo
2023-01-19 12:53:00,250,0,0,119,0,0,Januari,2023,Pasar Kendal
2023-01-19 12:30:00,0,0,0,0,0,0,Januari,2023,Jatirejo
2023-01-20 10:32:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-20 12:40:00,0,38,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-21 13:24:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-21 13:15:00,300,79,0,127,0,0,Januari,2023,Jatirejo
2023-01-24 13:35:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-24 13:28:00,0,0,0,0,0,0,Januari,2023,Jatirejo
2023-01-25 13:35:00,0,0,0,0,0,0,Januari,2023,Pasar Kendal
2023-01-25 13:36:00,0,68,0,0,0,0,Januari,2023,Jatirejo
2023-01-26 12:59:00,0,0,35,0,201,0,Januari,2023,Pasar Kendal
2023-01-26 13:07:00,0,68,0,0,0,0,Januari,2023,Jatirejo
2023-01-27 10:17:00,0,0,33,0,131,0,Januari,2023,Pasar Kendal
2023-01-27 10:06:00,0,0,0,0,0,0,Januari,2023,Jatirejo
2023-01-28 11:57:00,220,0,34,121,64,0,Januari,2023,Pasar Kendal
